year,per capita income (US$)
1970,19703399
1971,19713768
1972,19724251
1973,19734804
1974,19745577
1975,19755998
1976,19767062
1977,19777100
1978,19787248
1979,19797603
1980,19808356
1981,19819434
1982,19829619
1983,198310417
1984,198410790
1985,198511019
1986,198611483
1987,198712975
1988,198815080
1989,198916427
1990,199016839
1991,199117266
1992,199216412
1993,199315876
1994,199415756
1995,199516369
1996,199616700
1997,199717311
1998,199816623
1999,199917581
2000,200018987
2001,200118601
2002,200219232
2003,200322739
2004,200425719
2005,200529198
2006,200632738
2007,200736144
2008,200837446
2009,200932755
2010,201038421
2011,201142335
2012,201242665
2013,201342676
2014,201441040
2015,201535175
2016,201634229
